Playtype,AtlantaHawks,BostonCeltics,BrooklynNets,CharlotteHornets,ChicagoBulls,ClevelandCavaliers,DallasMavericks,DenverNuggets,DetroitPistons,GoldenStateWarriors,HoustonRockets,IndianaPacers,LAClippers,LosAngelesLakers,MemphisGrizzlies,MiamiHeat,MilwaukeeBucks,MinnesotaTimberwolves,NewOrleansPelicans,NewYorkKnicks,OklahomaCityThunder,OrlandoMagic,Philadelphia76ers,PhoenixSuns,PortlandTrailBlazers,SacramentoKings,SanAntonioSpurs,TorontoRaptors,UtahJazz,WashingtonWizards
Transition,93.1,82.8,62.1,13.8,24.1,86.2,3.4,100,31,55.2,0,89.7,58.6,27.6,34.5,65.5,6.9,72.4,44.8,20.7,51.7,41.4,96.6,10.3,69,17.2,37.9,48.3,75.9,79.3
Cuts,89.7,62.1,27.6,55.2,79.3,69,100,93.1,44.8,48.3,0,51.7,24.1,82.8,58.6,34.5,13.8,86.2,41.4,72.4,20.7,75.9,3.4,6.9,37.9,96.6,31,17.2,10.3,65.5
Isolation,75.9,51.7,96.6,27.6,100,72.4,89.7,41.4,6.9,44.8,69,62.1,31,34.5,17.2,37.9,13.8,48.3,55.2,65.5,58.6,20.7,82.8,3.4,79.3,86.2,0,10.3,93.1,24.1
P&R Ball Handler,41.4,86.2,89.7,10.3,24.1,72.4,44.8,58.6,55.2,3.4,48.3,82.8,34.5,96.6,62.1,100,75.9,31,0,6.9,20.7,27.6,37.9,65.5,17.2,79.3,51.7,69,93.1,13.8
P&R Roll Man,86.2,62.1,17.2,72.4,34.5,10.3,93.1,96.6,75.9,69,20.7,6.9,51.7,100,89.7,13.8,37.9,82.8,44.8,79.3,0,27.6,65.5,55.2,3.4,48.3,24.1,31,58.6,41.4
Post Up,86.2,62.1,17.2,72.4,34.5,10.3,93.1,96.6,75.9,69,20.7,6.9,51.7,100,89.7,13.8,37.9,82.8,44.8,79.3,0,27.6,65.5,55.2,3.4,48.3,24.1,31,58.6,41.4
Spot Up,3.4,89.7,93.1,0,55.2,27.6,79.3,86.2,51.7,75.9,10.3,6.9,96.6,37.9,20.7,24.1,58.6,65.5,41.4,34.5,44.8,48.3,100,82.8,69,72.4,17.2,13.8,62.1,31
Handoff,86.2,82.8,79.3,96.6,24.1,41.4,13.8,20.7,0,69,34.5,51.7,17.2,55.2,44.8,3.4,10.3,48.3,75.9,62.1,89.7,27.6,72.4,6.9,93.1,100,31,65.5,58.6,37.9
Off-screen,20.7,93.1,79.3,10.3,17.2,65.5,75.9,58.6,100,72.4,3.4,34.5,48.3,0,37.9,13.8,27.6,41.4,62.1,31,89.7,96.6,24.1,69,82.8,6.9,51.7,55.2,86.2,44.8
Putbacks,20.7,96.6,100,55.2,37.9,41.4,34.5,60.7,65.5,6.9,27.6,10.3,0,82.8,17.2,24.1,72.4,31,75.9,48.3,3.4,93.1,69,13.8,44.8,79.3,86.2,60.7,51.7,89.7
Misc,86.2,79.3,51.7,37.9,17.2,75.9,62.1,3.4,69,6.9,44.8,72.4,34.5,55.2,41.4,82.8,48.3,31,10.3,89.7,24.1,58.6,13.8,27.6,20.7,100,0,93.1,65.5,96.6
